NAME,CAPACITY,REGION,LOCATION,LAT,LON
Rungrado 1st of May Stadium,114000,Asia,Pyongyang-KR,39.04965194992577, 125.77534304766085
Michigan Stadium,107601,North America,Ann Arbor-US,42.26587739240931, -83.7487275680813
Ohio Stadium,102780,North America,Columbus-US,40.00166227187029, -83.01974783188459
Melbourne Cricket Ground,1000254,Oceania,Melbourne-AU,-37.819984510717035, 144.98345246645442
Camp Nou,99354,Europe,Barcelona-ES,41.38089723741818, 2.1228270377119496
Estadio Azteca,95500,North America,Mexico City-MX,19.302968993700713, -99.15048044819692
FNB Stadium,94736,Africa,Johannesburg-ZA,-26.234814906833655, 27.982638429399255
New Administrative Capital Stadium,93940,Africa,New Administrative Capital-EG,29.89221160682303, 31.673201820085346
Rose Bowl Stadium,92800,North America,Pasadena-US,34.16132440106869, -118.16764184881127
Cotton Bowl Stadium,92100,North America,Dallas-US,32.77959788858502, -96.75958293091455
Wembley Stadium,90000,Europe,London-UK,51.5559948625938, -0.2795952354156994
Lusail Stadium,88966,Asia,Lusail-QA,25.420820078894025, 51.490654335500196
Bukit Jalil National Stadium,87411,Asia,Kuala Lumpur-MY,3.054574740468277, 101.69135665589185
Borg el-Arab Stadium,86000,Africa,Alexandria-EG,30.99946085210931, 29.72941768532979
Estadio Santiago Bernabéu,85000,Europe,Madrid-ES,40.453163809721325, -3.688276092275208
Estadio Mâs Monumental,84567,South America,Buenos Aires-AR,-34.545302038154674, -58.449734765338356
Stadium Australia,83500,Oceania,Sydney-AU,-33.84707584839966, 151.0634221250042
MetLife Stadium,82500,North America,Rutherford-US,40.81353544196267, -74.07437595512495
Croke Park,82300,Europe,Dublin-IE,53.360740615698376, -6.2511175108048525
Jakarta International Stadium,82000,Asia,Jakarta-ID,-6.125155694065391, 106.86008992229212
Lambeau Field,81441,North America,Green Bay-US,44.50132124194474, -88.06221381009468
SIGNAL IDUNA PARK,81365,Europe,Dortmund-DE,51.49260542952368, 7.4518290681327715
Stade de France,81338,Europe,Saint-Denis-FR,48.924475471987314, 2.360143300833112
Grand Sports Arena of the Luzhniki Olympic Complex,81000,Europe,Moscow-RU,55.71565590310172, 37.553730857630036
Shah Alam Stadium,80372,Asia,Shah Alam-MY,3.082217274417736, 101.54519357248313
Estadio Monumental,80093,South America,Lima-PE,-12.055700790307048, -76.93601211069488
Stadio Giuseppe Meazza,80018,Europe,Milan-IT,45.47808038478466, 9.123997778190796
Guangdong Olympic Stadium,80012,Asia,Guangzhou-CN,23.135462992163937, 113.40908586113765
Hangzhou Olympic Sports Expo Centre Stadium,80000,Asia,Hangzhou-CN,30.23153955997462, 120.22435285101288
AT&T Stadium,80000,North America,Arlington-US,32.747978552853446, -97.09290151590139
Stade des Martyrs,80000,Africa,Kinshasa-CD,-4.330308355990867, 15.310345358776468
Stade Tata Raphaël,80000,Africa,Kinshasa-CD,-4.337967002830031, 15.322622619308651
